,NDB_No,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),FoodGroup
7618,23575,1.772442138,1.601153403,2.563987226,1.097703049,0.393415916,0,0,0,0.140380833,0.492840061,0.418562927,1.142299034,1.037483404,0.09691511,1.941589538,0.161311934,0.001906217,0.789301413,0,0.089195863,0.440677003,1.25513282,0.661586565,0.931639129,0.087009415,0,0.197276481,1.823359672,0.659562052,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.025953223,1.024717636,1.133547624,0.099911099,0.760423302,"Meals, Entrees, and Side Dishes"
7619,23576,1.875135888,1.495194722,2.397802868,1.022457275,0.305236487,0,0,0,0.115312827,0.457383942,0.345769375,0.904741271,0.73988948,0.071355081,1.893049799,0.146478653,0.001429663,0.741797162,0,0.087213733,0.394532814,0.995969741,0.466471816,0.716143162,0.055369628,0,0.125539579,1.739502329,0.586539111,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.024331147,0.964136255,1.066632705,0.093928398,0.75187922,"Meals, Entrees, and Side Dishes"
7620,23577,1.887810117,1.724771864,1.49660884,1.580793561,0.261146772,0,0,0,0.105285625,0.31733227,0.272975822,0.732890973,0.666173554,0.07029008,1.174054924,0.103832969,0.001429663,0.522546769,0,0.087213733,0.348388625,0.818817569,0.365635202,0.655194808,0.063279575,0,0.143473804,1.109497159,0.497027118,0.003794982,0.005259346,0,0,0,0,0,0.044710406,0.032478123,0.038929835,1.497784654,1.688896937,0.121448821,0.640806154,"Meals, Entrees, and Side Dishes"
7621,23578,1.796490674,1.642359557,2.42724124,1.19318298,0.332368619,0,0,0,0.150408035,0.420155016,0.363967763,0.955285476,0.789033431,0.083070094,1.877881131,0.139062012,0.001588514,0.78564724,0,0.097124384,0.406068861,1.03708282,0.539434895,0.764031155,0.087009415,0,0.197276481,1.705099316,0.661917631,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.035685682,1.134609445,1.27954381,0.103700143,0.75187922,"Meals, Entrees, and Side Dishes"
7622,23579,1.90730893,1.459875161,2.226870387,1.039529846,0.356109235,0,0,0,0.160435238,0.443201494,0.363967763,1.005829681,0.879130674,0.092655105,1.805071523,0.131645371,0.001906217,0.716217949,0,0.085231603,0.408376071,1.136959622,0.495165162,0.748794066,0.079099468,0,0.179342255,1.565337077,0.657206473,0.002710702,0.00394451,0,0,0,0,0,0.034190311,0,0.032441529,0.983234261,1.108621446,0.089939931,0.717702892,"Meals, Entrees, and Side Dishes"
7623,23580,1.771142217,1.63058637,2.495614233,1.15145003,0.373066817,0,0,0,0.17046244,0.466247972,0.400364539,1.081645988,0.966497697,0.099045113,1.871813664,0.148332813,0.001906217,0.789301413,0,0.091177993,0.440677003,1.15052048,0.661586565,0.931639129,0.094919362,0,0.215210706,1.752403458,0.659562052,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.035685682,1.084203231,1.222569688,0.099113406,0.760423302,"Meals, Entrees, and Side Dishes"
7624,23581,1.868636284,1.495194722,2.33227875,1.04332375,0.30184497,0,0,0,0.140380833,0.430791852,0.327570987,0.869360327,0.698936188,0.074550085,1.832375126,0.146478653,0.001429663,0.719872122,0,0.093160124,0.394532814,0.931394222,0.44351714,0.69655262,0.055369628,0,0.125539579,1.638443479,0.586539111,0.002439631,0.00394451,0,0,0,0,0,0.031560287,0,0.034063605,0.994974839,1.121974755,0.090937048,0.75187922,"Meals, Entrees, and Side Dishes"
7625,23582,2.369105828,0.788803515,2.139504896,0.265573318,0.359500751,0,0,0,0.110299226,0.28187615,0.418562927,1.056373886,0.963767478,0.058575067,1.201358526,0.140916172,0.001747365,1.110868656,0,0.150641902,0.279172342,1.408607301,0.542714134,1.382221605,0.102829309,0,0.233144932,2.023327183,0.223779982,0,0,0,0,0,0,0,0.076270693,0.188135755,0.019464917,0.243108232,0.250745482,0.03629505,0.623717989,"Meals, Entrees, and Side Dishes"
7626,23583,2.310934368,0.871215822,2.094872526,0.374964233,0.356109235,0,0,0,0.110299226,0.283648956,0.418562927,1.056373886,0.966497697,0.058575067,1.20439226,0.140916172,0.001747365,1.114522829,0,0.146677642,0.272250714,1.379333066,0.531236796,1.353924155,0.102829309,0,0.233144932,1.980323417,0.219068824,0,0,0,0,0,0,0,0.081530741,0.188135755,0.019464917,0.342981415,0.353714337,0.051052378,0.546821251,"Meals, Entrees, and Side Dishes"
7627,23584,2.382430017,0.747597361,2.114814649,0.223840368,0.403590466,0,0,0,0.110299226,0.285421762,0.418562927,1.066482727,0.974688356,0.059640068,1.213493461,0.142770332,0.001747365,1.125485349,0,0.148659772,0.276865133,1.392463422,0.536155655,1.366984517,0.102829309,0,0.233144932,1.999675112,0.221424403,0,0,0,0,0,0,0,0.073640669,0,0.017842841,0.204599137,0.210982293,0.0333037,0.504100841,"Meals, Entrees, and Side Dishes"
7628,23585,2.361956263,0.782916921,2.190784641,0.245339161,0.335760135,0,0,0,0.115312827,0.288967374,0.436761315,1.081645988,0.985609234,0.060705069,1.228662129,0.144624493,0.001747365,1.140102041,0,0.154606163,0.286093971,1.442832326,0.555831092,1.417049236,0.102829309,0,0.233144932,2.072781514,0.230846718,0,0,0,0,0,0,0,0.076270693,0.188135755,0.019464917,0.224166767,0.231308998,0.033503123,0.341763282,"Meals, Entrees, and Side Dishes"
7629,23586,2.029501494,1.106679558,2.931492061,0.393301438,0.403590466,0,0,0,0.110299226,0.338605942,0.49135648,1.278768388,1.116659769,0.07029008,1.726194448,0.157603614,0.001747365,1.417819205,0,0.174427466,0.378382348,1.941570577,0.498444401,1.484527771,0.079099468,0,0.179342255,0.937401024,0.346270077,0,0,0,0,0,0,0,0.105200956,0.188135755,0.02270907,0.37084572,0.368551348,0.044271984,0.837320041,"Meals, Entrees, and Side Dishes"
7630,23587,2.036651059,1.141999118,2.76055958,0.490678321,0.406981982,0,0,0,0.105285625,0.320877882,0.454959704,1.202952081,1.053864721,0.066030075,1.629114971,0.148332813,0.001747365,1.337427395,0,0.164516814,0.355310254,1.828348169,0.469751056,1.397458694,0.079099468,0,0.179342255,2.38025844,0.327425447,0,0,0,0,0,0,0,0.105200956,0.188135755,0.02270907,0.462265686,0.459353854,0.055240268,0.70915881,"Meals, Entrees, and Side Dishes"
7631,23588,2.127645522,1.000720877,2.786199452,0.313629443,0.406981982,0,0,0,0.105285625,0.320877882,0.454959704,1.202952081,1.053864721,0.066030075,1.629114971,0.148332813,0.001747365,1.337427395,0,0.166498944,0.357617463,1.845568307,0.473850105,1.410519055,0.079099468,0,0.179342255,2.401760323,0.329781026,0,0,0,0,0,0,0,0.097310884,0.032478123,0.021086994,0.295706021,0.293772813,0.039086977,0.657894318,"Meals, Entrees, and Side Dishes"
7632,23589,2.100997143,1.041927031,2.795695701,0.362317884,0.386632883,0,0,0,0.105285625,0.320877882,0.454959704,1.208006501,1.053864721,0.066030075,1.632148705,0.148332813,0.001747365,1.341081568,0,0.166498944,0.359924673,1.851810607,0.475489725,1.414872509,0.079099468,0,0.179342255,2.410361076,0.332136605,0,0,0,0,0,0,0,0.099940908,0.188135755,0.021086994,0.341729087,0.339470807,0.040881787,0.6664384,"Meals, Entrees, and Side Dishes"
7633,23590,2.164693267,0.965401316,2.701682836,0.295292237,0.3900244,0,0,0,0.030081607,0.416609404,0.345769375,0.924958953,0.649792237,0.040470046,1.492596957,0.146478653,0.001588514,1.300885663,0,0.13478486,0.355310254,1.0532267,0.459913337,0.816272601,0.079099468,0,0.179342255,2.328653921,0.343914499,0,0,0,0,0,0,0,0.094680861,0.032478123,0.021086994,0.25171799,0.28947008,0.041280634,0.632262072,"Meals, Entrees, and Side Dishes"
7634,23591,2.15494386,0.959514723,2.809940074,0.259882461,0.400198949,0,0,0,0.030081607,0.429019046,0.363967763,0.950231055,0.668903774,0.041535047,1.535069228,0.152041133,0.001747365,1.341081568,0,0.140731251,0.36915351,1.095416038,0.477949154,0.848923506,0.079099468,0,0.179342255,2.423262206,0.358047971,0,0,0,0,0,0,0,0.094680861,0.188135755,0.021086994,0.22166211,0.254899845,0.033104276,0.640806154,"Meals, Entrees, and Side Dishes"
7635,23592,2.040550822,1.041927031,3.001764304,0.294027602,0.396807433,0,0,0,0.035095208,0.47156639,0.400364539,1.046265045,0.737159261,0.045795052,1.689789645,0.166874415,0.001906217,1.476285977,0,0.150641902,0.394532814,1.170108388,0.510741549,0.907695133,0.087009415,0,0.197276481,2.588826704,0.381603759,0,0,0,0,0,0,0,0.089420813,0.188135755,0.019464917,0.250778743,0.28843149,0.03749159,0.700614728,"Meals, Entrees, and Side Dishes"
7636,23593,1.905684029,1.206751646,3.2724074,0.406580104,0.356109235,0,0,0,0.035095208,0.505249703,0.418562927,1.122081352,0.789033431,0.048990056,1.814172724,0.177999376,0.002065068,1.582257,0,0.162534684,0.431448165,1.275796986,0.556650902,0.990410756,0.094919362,0,0.215210706,2.823197228,0.41693744,0,0,0,0,0,0,0,0.115721052,0.188135755,0.025953223,0.346894941,0.39881885,0.051850071,0.786055548,"Meals, Entrees, and Side Dishes"
7637,23594,2.35870646,0.753483954,2.107217649,0.27252881,0.369675301,0,0,0,0.100272024,0.340378747,0.436761315,1.081645988,0.955576819,0.062835071,1.280235601,0.183561856,0.00222392,1.030476845,0,0.178391726,0.332238159,1.433791753,0.537795275,1.427932871,0.102829309,0,0.233144932,1.993224547,0.369825865,0,0,0,0,0,0,0,0.076270693,0.188135755,0.019464917,0.231054572,0.269440116,0.03689332,0.521189005,"Meals, Entrees, and Side Dishes"
